post_id,date_posted,time_posted,day_of_week,likes,comments,shares,saves,impressions,reach,followers_at_post_time,hour
1000_51,2025-05-31,20:12:00,Cumartesi,822,39,19,56,5600,4578,5913,20
1000_52,2025-06-01,16:09:00,Pazar,165,7,3,11,2156,1681,5953,16
1000_53,2025-06-02,23:25:00,Pazartesi,359,17,8,24,3890,3230,5990,23
1000_54,2025-06-03,21:49:00,Salı,462,21,10,31,4897,3886,5986,21
1000_55,2025-06-04,18:58:00,Çarşamba,585,28,13,40,5297,4224,5999,18
1000_56,2025-06-05,21:03:00,Perşembe,794,37,18,54,5928,4771,6001,21
1000_57,2025-06-06,21:28:00,Cuma,1319,61,32,91,7301,5448,6013,21
1000_58,2025-06-07,18:59:00,Cumartesi,716,33,16,49,5250,4227,6052,18
1000_59,2025-06-08,12:28:00,Pazar,185,8,4,12,2346,1973,6078,12
1000_60,2025-06-09,19:54:00,Pazartesi,382,18,9,26,4196,3346,6066,19
1000_61,2025-06-10,03:17:00,Salı,223,10,5,15,3029,2403,6083,3
1000_62,2025-06-11,21:55:00,Çarşamba,585,27,13,40,5714,4606,6137,21
1000_63,2025-06-12,20:30:00,Perşembe,774,37,17,53,5764,4640,6114,20
1000_64,2025-06-13,20:41:00,Cuma,1341,62,32,92,7418,5746,6135,20
1000_65,2025-06-14,19:20:00,Cumartesi,719,33,16,49,5272,4347,6136,19
1000_66,2025-06-15,08:35:00,Pazar,137,6,3,9,2186,1839,6161,8
1000_67,2025-06-16,09:47:00,Pazartesi,237,10,5,16,3028,2477,6189,9
1000_68,2025-06-17,12:47:00,Salı,376,17,8,25,3731,3101,6221,12
1000_69,2025-06-18,19:40:00,Çarşamba,585,28,13,40,5296,4196,6204,19
1000_70,2025-06-19,20:39:00,Perşembe,783,37,18,53,5845,4562,6245,20
1000_71,2025-06-20,21:58:00,Cuma,1336,62,32,92,7390,5830,6268,21
1000_72,2025-06-21,19:28:00,Cumartesi,718,34,16,49,5266,4230,6274,19
1000_73,2025-06-22,09:36:00,Pazar,137,6,3,9,2178,1771,6296,9
1000_74,2025-06-23,19:40:00,Pazartesi,379,18,9,26,4159,3391,6293,19
1000_75,2025-06-24,22:15:00,Salı,376,17,8,25,4046,3177,6339,22
1000_76,2025-06-25,12:02:00,Çarşamba,361,16,8,24,3543,3035,6309,12
1000_77,2025-06-26,20:49:00,Perşembe,783,37,18,53,5842,4671,6340,20
1000_78,2025-06-27,21:28:00,Cuma,1341,62,32,92,7421,5634,6353,21
1000_79,2025-06-28,19:53:00,Cumartesi,722,34,16,49,5290,4228,6385,19
1000_80,2025-06-29,14:26:00,Pazar,188,8,4,12,2387,2058,6387,14
1000_81,2025-06-30,22:12:00,Pazartesi,354,16,8,24,3836,3101,6395,22
1000_82,2025-07-01,13:00:00,Salı,379,17,8,26,3753,3060,6422,13
1000_83,2025-07-02,03:22:00,Çarşamba,234,10,5,15,3101,2573,6409,3
1000_84,2025-07-03,13:30:00,Perşembe,424,19,10,29,4143,3386,6457,13
1000_85,2025-07-04,21:30:00,Cuma,1351,63,32,93,7477,5757,6452,21
1000_86,2025-07-05,19:40:00,Cumartesi,724,34,16,50,5307,4325,6491,19
1000_87,2025-07-06,14:02:00,Pazar,188,8,4,12,2393,1980,6496,14
1000_88,2025-07-07,18:59:00,Pazartesi,379,18,9,26,4154,3450,6525,18
1000_89,2025-07-08,02:45:00,Salı,223,10,5,15,3026,2425,6541,2
1000_90,2025-07-09,19:54:00,Çarşamba,585,28,13,40,5299,4453,6561,19
1000_91,2025-07-10,21:31:00,Perşembe,794,37,18,54,5928,4580,6591,21
1000_92,2025-07-11,21:40:00,Cuma,1347,63,32,93,7452,5832,6583,21
1000_93,2025-07-12,18:43:00,Cumartesi,716,33,16,49,5247,4383,6604,18
1000_94,2025-07-13,01:54:00,Pazar,113,5,2,8,1729,1399,6601,1
1000_95,2025-07-14,19:07:00,Pazartesi,379,18,9,26,4157,3337,6650,19
1000_96,2025-07-15,19:50:00,Salı,459,21,10,31,4865,3926,6640,19
1000_97,2025-07-16,13:50:00,Çarşamba,368,17,8,25,3609,2911,6648,13
1000_98,2025-07-17,21:26:00,Perşembe,794,37,18,54,5928,4603,6652,21
1000_99,2025-07-18,21:28:00,Cuma,1355,63,32,93,7500,5937,6673,21
1000_100,2025-07-19,19:51:00,Cumartesi,724,34,16,50,5307,4311,6697,19
1000_101,2025-07-20,08:33:00,Pazar,137,6,3,9,2178,1771,6732,8
1000_102,2025-07-21,18:05:00,Pazartesi,379,18,9,26,4156,3391,6726,18
1000_103,2025-07-22,18:03:00,Salı,448,21,10,30,4743,3912,6746,18
1000_104,2025-07-23,22:12:00,Çarşamba,487,23,11,33,4728,3754,6768,22
1000_105,2025-07-24,19:00:00,Perşembe,774,36,17,53,5761,4669,6783,19
1000_106,2025-07-25,21:04:00,Cuma,1363,63,33,94,7542,5728,6804,21
1000_107,2025-07-26,19:10:00,Cumartesi,719,33,16,49,5272,4347,6809,19
1000_108,2025-07-27,08:00:00,Pazar,137,6,3,9,2178,1771,6791,8
1000_109,2025-07-28,19:15:00,Pazartesi,379,18,9,26,4159,3391,6822,19
1000_110,2025-07-29,19:58:00,Salı,459,21,10,31,4865,3926,6817,19
1000_111,2025-07-30,19:15:00,Çarşamba,585,28,13,40,5299,4453,6854,19
1000_112,2025-07-31,21:09:00,Perşembe,794,37,18,54,5928,4580,6832,21
1000_113,2025-08-01,21:34:00,Cuma,1362,63,33,94,7535,5953,6870,21
1000_114,2025-08-02,20:46:00,Cumartesi,831,39,19,57,5652,4767,6882,20
1000_115,2025-08-03,02:41:00,Pazar,113,5,2,8,1729,1399,6921,2
1000_116,2025-08-04,19:42:00,Pazartesi,379,18,9,26,4154,3450,6916,19
1000_117,2025-08-05,21:19:00,Salı,462,21,10,31,4897,3886,6929,21
1000_118,2025-08-06,20:30:00,Çarşamba,588,28,13,40,5330,4422,6927,20
1000_119,2025-08-07,19:09:00,Perşembe,774,36,17,53,5761,4669,6966,19
1000_120,2025-08-08,21:13:00,Cuma,1370,64,33,94,7583,5770,6988,21
1000_121,2025-08-09,19:54:00,Cumartesi,724,34,16,50,5307,4311,6986,19
1000_122,2025-08-10,02:35:00,Pazar,113,5,2,8,1729,1399,7018,2
1000_123,2025-08-11,22:15:00,Pazartesi,354,16,8,24,3836,3101,7028,22
1000_124,2025-08-12,19:28:00,Salı,459,21,10,31,4865,3926,7031,19
1000_125,2025-08-13,19:29:00,Çarşamba,585,28,13,40,5299,4453,7070,19
1000_126,2025-08-14,21:40:00,Perşembe,794,37,18,54,5928,4580,7072,21
1000_127,2025-08-15,21:14:00,Cuma,1370,64,33,94,7583,5770,7097,21
1000_128,2025-08-16,20:41:00,Cumartesi,831,39,19,57,5652,4767,7089,20
1000_129,2025-08-17,02:37:00,Pazar,113,5,2,8,1729,1399,7110,2
1000_130,2025-08-18,22:36:00,Pazartesi,354,16,8,24,3836,3101,7129,22
1000_131,2025-08-19,19:07:00,Salı,459,21,10,31,4865,3926,7128,19
1000_132,2025-08-20,20:18:00,Çarşamba,588,28,13,40,5330,4422,7145,20
1000_133,2025-08-21,19:54:00,Perşembe,774,36,17,53,5761,4669,7151,19
1000_134,2025-08-22,21:46:00,Cuma,1370,64,33,94,7583,5770,7212,21
1000_135,2025-08-23,19:28:00,Cumartesi,719,33,16,49,5272,4347,7200,19
1000_136,2025-08-24,01:54:00,Pazar,113,5,2,8,1729,1399,7204,1
1000_137,2025-08-25,19:20:00,Pazartesi,379,18,9,26,4159,3391,7208,19
1000_138,2025-08-26,20:53:00,Salı,462,21,10,31,4897,3886,7233,20
1000_139,2025-08-27,19:10:00,Çarşamba,585,28,13,40,5299,4453,7239,19
1000_140,2025-08-28,21:12:00,Perşembe,794,37,18,54,5928,4580,7284,21
1000_141,2025-08-29,21:56:00,Cuma,1370,64,33,94,7583,5770,7295,21
1000_142,2025-08-30,19:57:00,Cumartesi,724,34,16,50,5307,4311,7312,19
1000_143,2025-08-31,04:22:00,Pazar,110,5,2,8,1717,1434,7334,4
1000_144,2025-09-01,18:59:00,Pazartesi,379,18,9,26,4154,3450,7353,18
1000_145,2025-09-02,20:13:00,Salı,462,21,10,31,4897,3886,7345,20
1000_146,2025-09-03,19:28:00,Çarşamba,585,28,13,40,5299,4453,7364,19
1000_147,2025-09-04,19:57:00,Perşembe,774,36,17,53,5761,4669,7371,19
1000_148,2025-09-05,21:51:00,Cuma,1379,64,33,95,7632,5839,7393,21
1000_149,2025-09-06,20:53:00,Cumartesi,831,39,19,57,5652,4767,7412,20
1000_150,2025-09-07,04:36:00,Pazar,110,5,2,8,1717,1434,7435,4
1000_151,2025-09-08,22:15:00,Pazartesi,354,16,8,24,3836,3101,7454,22
1000_152,2025-09-09,19:35:00,Salı,459,21,10,31,4865,3926,7477,19
1000_153,2025-09-10,19:33:00,Çarşamba,585,28,13,40,5299,4453,7474,19
1000_154,2025-09-11,21:49:00,Perşembe,794,37,18,54,5928,4580,7490,21
1000_155,2025-09-12,21:03:00,Cuma,1379,64,33,95,7632,5839,7523,21
1000_156,2025-09-13,19:54:00,Cumartesi,724,34,16,50,5307,4311,7515,19
1000_157,2025-09-14,02:40:00,Pazar,113,5,2,8,1729,1399,7547,2
1000_158,2025-09-15,19:16:00,Pazartesi,379,18,9,26,4159,3391,7575,19
1000_159,2025-09-16,21:30:00,Salı,462,21,10,31,4897,3886,7565,21
1000_160,2025-09-17,19:16:00,Çarşamba,585,28,13,40,5299,4453,7604,19
1000_161,2025-09-18,19:08:00,Perşembe,774,36,17,53,5761,4669,7622,19
1000_162,2025-09-19,21:35:00,Cuma,1379,64,33,95,7632,5839,7645,21
1000_163,2025-09-20,20:46:00,Cumartesi,831,39,19,57,5652,4767,7641,20
1000_164,2025-09-21,02:22:00,Pazar,113,5,2,8,1729,1399,7670,2
1000_165,2025-09-22,19:40:00,Pazartesi,379,18,9,26,4159,3391,7683,19
1000_166,2025-09-23,19:47:00,Salı,459,21,10,31,4865,3926,7699,19
1000_167,2025-09-24,19:22:00,Çarşamba,585,28,13,40,5299,4453,7717,19
1000_168,2025-09-25,21:55:00,Perşembe,794,37,18,54,5928,4580,7713,21
1000_169,2025-09-26,21:28:00,Cuma,1388,64,33,96,7681,5908,7759,21
1000_170,2025-09-27,20:13:00,Cumartesi,831,39,19,57,5652,4767,7759,20
1000_171,2025-09-28,04:22:00,Pazar,110,5,2,8,1717,1434,7782,4
1000_172,2025-09-29,18:41:00,Pazartesi,379,18,9,26,4154,3450,7778,18
1000_173,2025-09-30,19:48:00,Salı,459,21,10,31,4865,3926,7821,19
1000_174,2025-10-01,20:19:00,Çarşamba,588,28,13,40,5330,4422,7831,20
1000_175,2025-10-02,19:25:00,Perşembe,774,36,17,53,5761,4669,7844,19
1000_176,2025-10-03,21:21:00,Cuma,1388,64,33,96,7681,5908,7844,21
1000_177,2025-10-04,19:35:00,Cumartesi,719,33,16,49,5272,4347,7864,19
1000_178,2025-10-05,04:20:00,Pazar,110,5,2,8,1717,1434,7880,4
1000_179,2025-10-06,19:15:00,Pazartesi,379,18,9,26,4159,3391,7915,19
1000_180,2025-10-07,20:30:00,Salı,462,21,10,31,4897,3886,7935,20
1000_181,2025-10-08,19:53:00,Çarşamba,585,28,13,40,5299,4453,7951,19
1000_182,2025-10-09,21:40:00,Perşembe,794,37,18,54,5928,4580,7955,21
1000_183,2025-10-10,21:46:00,Cuma,1388,64,33,96,7681,5908,7953,21
1000_184,2025-10-11,20:31:00,Cumartesi,831,39,19,57,5652,4767,7965,20
1000_185,2025-10-12,01:54:00,Pazar,113,5,2,8,1729,1399,7980,1
1000_186,2025-10-13,18:51:00,Pazartesi,379,18,9,26,4154,3450,7980,18
1000_187,2025-10-14,20:39:00,Salı,462,21,10,31,4897,3886,8026,20
1000_188,2025-10-15,19:43:00,Çarşamba,585,28,13,40,5299,4453,8031,19
1000_189,2025-10-16,19:35:00,Perşembe,774,36,17,53,5761,4669,8055,19
1000_190,2025-10-17,21:18:00,Cuma,1388,64,33,96,7681,5908,8069,21
1000_191,2025-10-18,20:41:00,Cumartesi,831,39,19,57,5652,4767,8085,20
1000_192,2025-10-19,03:39:00,Pazar,110,5,2,8,1717,1434,8109,3
1000_193,2025-10-20,18:06:00,Pazartesi,379,18,9,26,4156,3391,8111,18
1000_194,2025-10-21,19:39:00,Salı,459,21,10,31,4865,3926,8127,19
1000_195,2025-10-22,19:27:00,Çarşamba,585,28,13,40,5299,4453,8127,19
1000_196,2025-10-23,21:12:00,Perşembe,794,37,18,54,5928,4580,8165,21
1000_197,2025-10-24,21:49:00,Cuma,1397,65,34,97,7730,5977,8165,21
1000_198,2025-10-25,20:42:00,Cumartesi,835,40,19,57,5681,4648,8198,20
1000_199,2025-10-26,05:43:00,Pazar,113,5,2,8,1729,1399,8195,5
